__time,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/orientation/w,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/orientation/x,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/orientation/y,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/orientation/z,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/position/x,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/position/y,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/position/z
1728477228.90819,0.000641439,0.923914552,-0.382598281,0.000265125,-0.041820973,0.814452231,0.554971576
1728477228.9398,0.000641439,0.923914552,-0.382598281,0.000265125,-0.041820973,0.814452231,0.554971576
1728477229.02922,0.000641439,0.923914552,-0.382598281,0.000265125,-0.041820973,0.814452231,0.554971576
1728477229.06435,0.000641439,0.923914552,-0.382598281,0.000265125,-0.041820973,0.814452231,0.554971576
1728477229.09668,0.000641439,0.923914552,-0.382598281,0.000265125,-0.039616674,0.812483609,0.552664876
1728477229.18416,0.000641439,0.923914552,-0.382598281,0.000265125,-0.039616674,0.812483609,0.552664876
1728477228.78378,0.000641439,0.923914552,-0.382598281,0.000265125,-0.042566389,0.805663407,0.561861992
1728477228.87461,0.000641439,0.923914552,-0.382598281,0.000265125,-0.042566389,0.805663407,0.561861992
1728477228.75277,0.000641439,0.923914552,-0.382598281,0.000265125,-0.041099042,0.794925213,0.566419721
1728477229.21672,0.000641439,0.923914552,-0.382598281,0.000265125,-0.030136436,0.770919204,0.564134479
1728477228.64042,0.000641439,0.923914552,-0.382598281,0.000265125,-0.038375825,0.756268144,0.586982012
1728477228.71898,0.000641439,0.923914552,-0.382598281,0.000265125,-0.038375825,0.756268144,0.586982012
1728477229.24774,0.000641439,0.923914552,-0.382598281,0.000265125,-0.024522752,0.753278077,0.566421032
1728477229.3387,0.000641439,0.923914552,-0.382598281,0.000265125,-0.024522752,0.753278077,0.566421032
1728477228.59578,0.000641379,0.923914492,-0.38259837,0.000265116,-0.037647814,0.750908673,0.58926332
1728477228.56411,0.000641379,0.923914492,-0.38259837,0.000265116,-0.033748597,0.741104901,0.589268327
1728477228.53203,0.000641379,0.923914492,-0.38259837,0.000265116,-0.031061262,0.716669858,0.600697279
1728477229.37073,0.000641439,0.923914552,-0.382598281,0.000265125,-0.010386795,0.710700691,0.570985556
1728477229.40466,0.000641439,0.923914552,-0.382598281,0.000265125,-0.008444518,0.70582372,0.570983768
1728477229.44639,0.000641645,0.923914611,-0.382598072,0.000265095,-0.008444518,0.70582372,0.570983768
1728477229.46804,0.000641645,0.923914611,-0.382598072,0.000265095,-0.006478757,0.700913548,0.570965052
1728477229.4998,0.000641645,0.923914611,-0.382598072,0.000265095,-0.003566712,0.693567097,0.57098484
1728477229.53209,0.000641645,0.923914611,-0.382598072,0.000265095,-0.000645727,0.686237037,0.570978999
1728477229.56402,0.000641645,0.923914611,-0.382598072,0.000265095,-0.000645727,0.686237037,0.570978999
1728477229.59609,0.000641645,0.923914611,-0.382598072,0.000265095,-0.000645727,0.686237037,0.570978999
1728477228.50077,0.000641379,0.923914492,-0.38259837,0.000265116,-0.025681466,0.681923151,0.614418387
1728477229.62807,0.000641645,0.923914611,-0.382598072,0.000265095,0.001303822,0.681335151,0.570981503
1728477229.65996,0.000641645,0.923914611,-0.382598072,0.000265095,0.006174475,0.669103205,0.570978284
1728477229.69199,0.000641645,0.923914611,-0.382598072,0.000265095,0.011060864,0.656842172,0.570968747
1728477229.72482,0.000641645,0.923914611,-0.382598072,0.000265095,0.013973504,0.649516404,0.570973396
1728477229.75678,0.000641645,0.923914611,-0.382598072,0.000265095,0.019079119,0.64022094,0.568691373
1728477229.78796,0.000641645,0.923914611,-0.382598072,0.000265095,0.023949534,0.627988935,0.568688035
1728477229.82059,0.000641645,0.923914611,-0.382598072,0.000265095,0.029815346,0.613274217,0.568674445
1728477229.85282,0.000641645,0.923914611,-0.382598072,0.000265095,0.039546758,0.588795543,0.568693519
1728477229.88399,0.000641645,0.923914611,-0.382598072,0.000265095,0.048318058,0.566779315,0.568680525
1728477229.91581,0.000641645,0.923914611,-0.382598072,0.000265095,0.057103425,0.544714034,0.568675876
1728477229.948,0.000641645,0.923914611,-0.382598072,0.000265095,0.060727507,0.532038689,0.570983291
1728477229.97989,0.000641645,0.923914611,-0.382598072,0.000265095,0.067561537,0.514856756,0.570991158
1728477230.01186,0.000641645,0.923914611,-0.382598072,0.000265095,0.072182566,0.499716461,0.573273182
1728477230.04485,0.000641645,0.923914611,-0.382598072,0.000265095,0.079018384,0.48255235,0.573266029
1728477230.07582,0.000641645,0.923914611,-0.382598072,0.000265095,0.080969959,0.477668762,0.573253632
1728477230.10786,0.000641645,0.923914611,-0.382598072,0.000265095,0.083880574,0.470326245,0.57327354
1728477230.13991,0.000641645,0.923914611,-0.382598072,0.000265095,0.086802155,0.462994993,0.573267698
1728477230.17187,0.000641645,0.923914611,-0.382598072,0.000265095,0.090700537,0.453192353,0.573272705
1728477230.20398,0.000641645,0.923914611,-0.382598072,0.000265095,0.093629152,0.445837259,0.573271155
1728477230.23671,0.000641645,0.923914611,-0.382598072,0.000265095,0.096548587,0.438488781,0.573280334
1728477230.26789,0.000641645,0.923914611,-0.382598072,0.000265095,0.100440174,0.428710163,0.573281169
1728477230.29999,0.000641645,0.923914611,-0.382598072,0.000265095,0.104341179,0.418924809,0.573271394
1728477231.64406,0.000641645,0.923914611,-0.382598072,0.000265095,-0.018193334,0.415508211,0.774441183
1728477231.67671,0.000641645,0.923914611,-0.382598072,0.000265095,-0.018193334,0.415508211,0.774441183
1728477231.70885,0.000641645,0.923914611,-0.382598072,0.000265095,-0.018193334,0.415508211,0.774441183
1728477231.74048,0.000641645,0.923914611,-0.382598072,0.000265095,-0.018193334,0.415508211,0.774441183
1728477231.77258,0.000641645,0.923914611,-0.382598072,0.000265095,-0.018193334,0.415508211,0.774441183
1728477231.80465,0.000641645,0.923914611,-0.382598072,0.000265095,-0.018193334,0.415508211,0.774441183
1728477231.83657,0.000641645,0.923914611,-0.382598072,0.000265095,-0.018193334,0.415508211,0.774441183
1728477231.8689,0.000641645,0.923914611,-0.382598072,0.000265095,-0.018193334,0.415508211,0.774441183
1728477230.33285,0.000641645,0.923914611,-0.382598072,0.000265095,0.106299549,0.414016783,0.573263168
1728477231.61274,0.000641645,0.923914611,-0.382598072,0.000265095,-0.016019672,0.413542092,0.772183239
1728477231.89994,0.000641645,0.923914611,-0.382598072,0.000265095,-0.015049189,0.411094904,0.772188544
1728477231.51585,0.000641645,0.923914611,-0.382598072,0.000265095,-0.014061064,0.408650815,0.772164345
1728477231.54844,0.000641645,0.923914611,-0.382598072,0.000265095,-0.014061064,0.408650815,0.772164345
1728477231.58045,0.000641645,0.923914611,-0.382598072,0.000265095,-0.014061064,0.408650815,0.772164345
1728477230.36388,0.000641645,0.923914611,-0.382598072,0.000265095,0.10921219,0.406692147,0.573268056
1728477231.48484,0.000641645,0.923914611,-0.382598072,0.000265095,-0.010902256,0.404269576,0.769866049
1728477231.96406,0.000641645,0.923914611,-0.382598072,0.000265095,-0.00749144,0.402751029,0.765309513
1728477230.39603,0.000641645,0.923914611,-0.382598072,0.000265095,0.112374097,0.402276099,0.570987701
1728477231.93192,0.000641645,0.923914611,-0.382598072,0.000265095,-0.008724898,0.402268469,0.767623663
1728477230.42888,0.000641645,0.923914611,-0.382598072,0.000265095,0.114332587,0.397368073,0.570979595
1728477230.46002,0.000641645,0.923914611,-0.382598072,0.000265095,0.114332587,0.397368073,0.570979595
1728477230.49287,0.000641645,0.923914611,-0.382598072,0.000265095,0.114332587,0.397368073,0.570979595
1728477230.52463,0.000641645,0.923914611,-0.382598072,0.000265095,0.114332587,0.397368073,0.570979595
1728477230.55639,0.000641645,0.923914611,-0.382598072,0.000265095,0.114332587,0.397368073,0.570979595
1728477231.99591,0.000641645,0.923914611,-0.382598072,0.000265095,-0.002134413,0.396383107,0.760726929
1728477231.42074,0.000641645,0.923914611,-0.382598072,0.000265095,-0.005803555,0.39493686,0.767618954
1728477231.45192,0.000641645,0.923914611,-0.382598072,0.000265095,-0.005803555,0.39493686,0.767618954
1728477230.58805,0.000641645,0.923914611,-0.382598072,0.000265095,0.11530295,0.394921064,0.570986271
1728477230.62065,0.000641645,0.923914611,-0.382598072,0.000265095,0.11530295,0.394921064,0.570986271
1728477230.65216,0.000641645,0.923914611,-0.382598072,0.000265095,0.116275221,0.392490566,0.570977807
1728477232.02873,0.000641645,0.923914611,-0.382598072,0.000265095,0.002251536,0.392461956,0.756138861
1728477231.38811,0.000641645,0.923914611,-0.382598072,0.000265095,-0.001418322,0.390999317,0.763043284
1728477232.06035,0.000641645,0.923914611,-0.382598072,0.000265095,0.004422098,0.390484512,0.753893137
1728477231.35599,0.000641645,0.923914611,-0.382598072,0.000265095,0.001985341,0.389504492,0.758483291
1728477231.32462,0.000641645,0.923914611,-0.382598072,0.000265095,0.004192978,0.387567997,0.756149948
1728477232.0921,0.000641645,0.923914611,-0.382598072,0.000265095,0.008568078,0.383642614,0.751582861
1728477231.29193,0.000641645,0.923914611,-0.382598072,0.000265095,0.012953192,0.379705071,0.74700743
1728477230.68394,0.000641645,0.923914611,-0.382598072,0.000265095,0.113848954,0.37735486,0.584699512
1728477232.1247,0.000641645,0.923914611,-0.382598072,0.000265095,0.013932139,0.37725091,0.747003973
1728477231.26024,0.000641645,0.923914611,-0.382598072,0.000265095,0.019764096,0.376743197,0.737862408
1728477232.15675,0.000641645,0.923914611,-0.382598072,0.000265095,0.018305928,0.373309076,0.742449224
1728477230.71589,0.000641645,0.923914611,-0.382598072,0.000265095,0.10996595,0.372961521,0.593843579
1728477230.7488,0.000641645,0.923914611,-0.382598072,0.000265095,0.107521564,0.372005045,0.598430872
1728477231.22789,0.000641645,0.923914611,-0.382598072,0.000265095,0.027545601,0.371334314,0.728723347
1728477230.78084,0.000641645,0.923914611,-0.382598072,0.000265095,0.103897721,0.37051332,0.605279088
1728477230.81188,0.000641645,0.923914611,-0.382598072,0.000265095,0.102675587,0.370035112,0.607572556
1728477231.19597,0.000641645,0.923914611,-0.382598072,0.000265095,0.035561591,0.368865371,0.717303634
1728477230.84399,0.000641645,0.923914611,-0.382598072,0.000265095,0.099028856,0.368597806,0.614422917
1728477232.18812,0.000641645,0.923914611,-0.382598072,0.000265095,0.0260804,0.367923737,0.733306468
1728477231.16408,0.000641645,0.923914611,-0.382598072,0.000265095,0.04016903,0.367867529,0.710466981
1728477230.87587,0.000641645,0.923914611,-0.382598072,0.000265095,0.096613556,0.367631257,0.61896944
1728477232.50796,0.000641645,0.923914611,-0.382598072,0.000265095,0.083462745,0.365227044,0.64187634
1728477230.90789,0.000641645,0.923914611,-0.382598072,0.000265095,0.090517431,0.365197659,0.630441189
1728477232.4766,0.000641645,0.923914611,-0.382598072,0.000265095,0.079826742,0.363794208,0.648706317
1728477230.93992,0.000641645,0.923914611,-0.382598072,0.000265095,0.086870342,0.363760054,0.637291431
1728477232.54007,0.000641645,0.923914611,-0.382598072,0.000265095,0.086870342,0.363760054,0.637291431
1728477232.57203,0.000641645,0.923914611,-0.382598072,0.000265095,0.092723995,0.363261521,0.628109455
1728477232.25191,0.000641645,0.923914611,-0.382598072,0.000265095,0.042111427,0.362990022,0.71046555
1728477232.22072,0.000641645,0.923914611,-0.382598072,0.000265095,0.035091192,0.362969637,0.721877575
1728477232.44408,0.000641645,0.923914611,-0.382598072,0.000265095,0.074967057,0.361871362,0.657840252
1728477232.63618,0.000641645,0.923914611,-0.382598072,0.000265095,0.096134573,0.361742914,0.623552799
1728477232.28396,0.000641645,0.923914611,-0.382598072,0.000265095,0.045544058,0.361480534,0.705867469
1728477232.60422,0.000641645,0.923914611,-0.382598072,0.000265095,0.094894797,0.36128372,0.625862479
1728477231.1,0.000641645,0.923914611,-0.382598072,0.000265095,0.051375896,0.360972762,0.696725965
1728477232.34792,0.000641645,0.923914611,-0.382598072,0.000265095,0.058430105,0.360943198,0.685291231
1728477232.41183,0.000641645,0.923914611,-0.382598072,0.000265095,0.072529465,0.360891342,0.662430882
1728477232.37995,0.000641645,0.923914611,-0.382598072,0.000265095,0.06548956,0.360878229,0.67387104
1728477230.97211,0.000641645,0.923914611,-0.382598072,0.000265095,0.079572946,0.360857129,0.651016235
1728477231.1327,0.000641645,0.923914611,-0.382598072,0.000265095,0.048931628,0.360016286,0.701312721
1728477232.31594,0.000641645,0.923914611,-0.382598072,0.000265095,0.054779679,0.359477699,0.692165732
1728477231.00398,0.000641645,0.923914611,-0.382598072,0.000265095,0.073501855,0.358460724,0.662423372
1728477232.66787,0.000641645,0.923914611,-0.382598072,0.000265095,0.101706177,0.358321607,0.616716862
1728477232.69996,0.000641645,0.923914611,-0.382598072,0.000265095,0.106344134,0.357321322,0.609832644
1728477231.06788,0.000641645,0.923914611,-0.382598072,0.000265095,0.05574277,0.357054293,0.69216764
1728477231.03688,0.000641645,0.923914611,-0.382598072,0.000265095,0.067398101,0.356046319,0.673894644
1728477232.73263,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.76451,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.79626,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.82801,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.86073,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.89242,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.92411,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.95577,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.98785,0.000641645,0.923914611,-0.382598072,0.000265095,0.117522627,0.350440919,0.596128583
1728477233.05213,0.000641645,0.923914611,-0.382598072,0.000265095,0.12336269,0.349921823,0.586981654
1728477233.02083,0.000641645,0.923914611,-0.382598072,0.000265095,0.120910317,0.348976851,0.591574192
1728477233.11589,0.000641645,0.923914611,-0.382598072,0.000265095,0.131379277,0.347456813,0.575558066
1728477233.0839,0.000641645,0.923914611,-0.382598072,0.000265095,0.128951937,0.34648174,0.580129743
1728477233.21205,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.24457,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.2765,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.30852,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.34016,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.37207,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.40464,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.43651,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.44174,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.44179,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.14802,0.000641645,0.923914611,-0.382598072,0.000265095,0.134793431,0.345966339,0.570977449
1728477233.1802,0.000641645,0.923914611,-0.382598072,0.000265095,0.134793431,0.345966339,0.570977449
